WEEK,DAY,EXERCISE,SETS,REPS,% TM,WEIGHT (kg),ACTUAL REPS,RPE,NOTES
1,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
1,A - Squat,Pause Squat (3 sec),4,8,65%,77.5,,,"Pause in hole, stay tight | High-bar, knees-forward"
1,A - Squat,Bulgarian Split Squat,3,10,-,20,,,Per leg - back-sparing unilateral quad work
1,A - Squat,Leg Curl,3,12,-,40,,,
1,A - Squat,Leg Extension,3,15,-,75,,,
1,A - Squat,Hanging Leg Raise,3,10,-,BW,,,
1,B - Bench,Larsen Press (feet up),4,8,65%,75,,,"Pause on chest, no leg drive"
1,B - Bench,Incline DB Press,3,10,-,26,,,
1,B - Bench,Chest Dip,3,AMRAP,-,BW,,,Bodyweight
1,B - Bench,Pec Deck,3,15,-,50,,,
1,B - Bench,Tricep Extension (Cable),3,15,-,25,,,
1,B - Bench,Cable Woodchop,3,12,-,20,,,Per side
1,B - Bench,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
1,B - Bench,Ab Wheel,3,10,-,BW,,,Controlled reps
1,C - Deadlift,Deficit Deadlift (5cm),4,6,65%,122.5,,,"Stand on plate, control descent"
1,C - Deadlift,Pull Up,4,AMRAP,-,BW,,,Rings or bar
1,C - Deadlift,Seated Cable Row,3,12,-,60,,,
1,C - Deadlift,Barbell Curl,3,12,-,34,,,
1,C - Deadlift,Cable Crunch,3,15,-,36,,,
1,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
1,D - Volume,Front Squat,3,8,-,70,,,Core stability focus
1,D - Volume,Romanian Deadlift,3,10,50%,95,,,Hamstring stretch
1,D - Volume,Ring Dip,3,AMRAP,,BW,,,Tricep emphasis
1,D - Volume,Ring Rollout,3,AMRAP,,BW,,,Extend from rings like ab wheel
1,D - Volume,Inverted Row (Rings),3,12,-,BW,,,
1,D - Volume,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
1,D - Volume,Face Pull,3,15,-,12,,,
2,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
2,A - Squat,Pause Squat (3 sec),4,8,67%,80,,,"+2% from last week | High-bar, knees-forward"
2,A - Squat,Bulgarian Split Squat,3,10,-,22.5,,,Per leg - back-sparing unilateral quad work
2,A - Squat,Leg Curl,3,12,-,40,,,
2,A - Squat,Leg Extension,3,15,-,75,,,
2,A - Squat,Hanging Leg Raise,3,12,-,BW,,,
2,B - Bench,Larsen Press (feet up),4,8,67%,77.5,,,
2,B - Bench,Incline DB Press,3,10,-,26,,,
2,B - Bench,Chest Dip,3,AMRAP,-,BW,,,
2,B - Bench,Pec Deck,3,15,-,50,,,
2,B - Bench,Tricep Extension (Cable),3,15,-,25,,,
2,B - Bench,Cable Woodchop,3,12,-,20,,,Per side
2,B - Bench,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
2,B - Bench,Ab Wheel,3,10,-,BW,,,Controlled reps
2,C - Deadlift,Deficit Deadlift (5cm),4,6,67%,127.5,,,
2,C - Deadlift,Pull Up,4,AMRAP,-,BW,,,
2,C - Deadlift,Seated Cable Row,3,12,-,60,,,
2,C - Deadlift,Barbell Curl,3,12,-,34,,,
2,C - Deadlift,Cable Crunch,3,15,-,36,,,
2,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
2,D - Volume,Front Squat,3,8,-,72.5,,,
2,D - Volume,Romanian Deadlift,3,10,52%,100,,,
2,D - Volume,Ring Dip,3,AMRAP,,BW,,,
2,D - Volume,Ring Rollout,3,AMRAP,,BW,,,Extend from rings like ab wheel
2,D - Volume,Inverted Row (Rings),3,12,-,BW,,,
2,D - Volume,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
2,D - Volume,Face Pull,3,15,-,12,,,
3,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
3,A - Squat,Pause Squat (3 sec),4,6,70%,85,,,"Intensity up, reps down | High-bar, knees-forward"
3,A - Squat,Bulgarian Split Squat,3,8,-,25,,,Per leg - back-sparing unilateral quad work
3,A - Squat,Leg Curl,3,12,-,40,,,
3,A - Squat,Leg Extension,3,12,-,75,,,
3,A - Squat,Hanging Leg Raise,3,12,-,BW,,,
3,B - Bench,Larsen Press (feet up),4,6,70%,80,,,
3,B - Bench,Incline DB Press,4,8,-,26,,,
3,B - Bench,Chest Dip,4,AMRAP,-,BW,,,
3,B - Bench,Pec Deck,3,12,-,50,,,
3,B - Bench,Tricep Extension (Cable),4,12,-,25,,,
3,B - Bench,Cable Woodchop,3,12,-,22.5,,,Per side
3,B - Bench,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
3,B - Bench,Ab Wheel,3,10,-,BW,,,Controlled reps
3,C - Deadlift,Deficit Deadlift (5cm),4,5,70%,132.5,,,
3,C - Deadlift,Pull Up,4,AMRAP,-,BW,,,
3,C - Deadlift,Seated Cable Row,4,10,-,60,,,
3,C - Deadlift,Barbell Curl,3,10,-,34,,,
3,C - Deadlift,Cable Crunch,3,15,-,36,,,
3,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
3,D - Volume,Front Squat,3,6,-,75,,,
3,D - Volume,Romanian Deadlift,3,8,55%,105,,,
3,D - Volume,Ring Dip,3,AMRAP,,BW,,,
3,D - Volume,Ring Rollout,3,AMRAP,,BW,,,Extend from rings like ab wheel
3,D - Volume,Inverted Row (Rings),4,10,-,BW,,,
3,D - Volume,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
3,D - Volume,Face Pull,3,15,-,12,,,
4,A - Squat (DELOAD),Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
4,A - Squat (DELOAD),High Bar Squat,3,5,50%,60,,,DELOAD - easy movement
4,A - Squat (DELOAD),Leg Extension,2,12,-,75,,,Light
4,A - Squat (DELOAD),Hanging Leg Raise,2,10,-,BW,,,
4,B - Bench (DELOAD),Bench Press,3,5,50%,57.5,,,DELOAD - technique focus
4,B - Bench (DELOAD),Pec Deck,2,12,-,50,,,Light
4,B - Bench (DELOAD),Tricep Extension,2,12,-,25,,,
4,C - Deadlift (DELOAD),Deadlift,3,5,50%,95,,,DELOAD - crisp reps
4,C - Deadlift (DELOAD),Pull Up,2,Easy,-,BW,,,
4,C - Deadlift (DELOAD),Cable Row,2,12,-,60,,,Light
4,C - Deadlift (DELOAD),Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
5,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
5,A - Squat,High Bar Squat,5,5,75%,90,,,Competition style
5,A - Squat,Bulgarian Split Squat,3,10,-,25,,,Per leg - back-sparing unilateral quad work
5,A - Squat,Pause Squat (2 sec),3,4,65%,77.5,,,"Lighter variation work | High-bar, knees-forward"
5,A - Squat,Leg Curl,3,12,-,40,,,
5,A - Squat,Leg Extension,3,12,-,75,,,
5,A - Squat,Cable Crunch,3,12,-,36,,,
5,B - Bench,Bench Press,5,5,75%,85,,,Competition style
5,B - Bench,"Spoto Press (1"" pause)",3,5,65%,75,,,Pause just off chest
5,B - Bench,Incline DB Press,3,8,-,26,,,
5,B - Bench,Chest Dip,3,AMRAP,-,BW,,,
5,B - Bench,Tricep Extension (Cable),3,12,-,25,,,
5,B - Bench,Cable Woodchop,3,12,-,22.5,,,Per side
5,B - Bench,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
5,B - Bench,Ab Wheel,3,10,-,BW,,,Controlled reps
5,C - Deadlift,Deadlift,5,5,75%,142.5,,,Competition style
5,C - Deadlift,Deficit Deadlift (2.5cm),3,4,65%,122.5,,,Smaller deficit now
5,C - Deadlift,Pull Up,4,AMRAP,-,BW,,,
5,C - Deadlift,Barbell Row,3,8,-,80,,,
5,C - Deadlift,Barbell Curl,3,10,-,34,,,
5,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
5,D - Volume,Front Squat,3,5,-,75,,,
5,D - Volume,Romanian Deadlift,3,8,55%,105,,,
5,D - Volume,Ring Dip,3,AMRAP,,BW,,,
5,D - Volume,Ring Rollout,3,AMRAP,,BW,,,Extend from rings like ab wheel
5,D - Volume,Inverted Row (Rings),3,10,-,BW,,,
5,D - Volume,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
5,D - Volume,Face Pull,3,15,-,12,,,
6,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
6,A - Squat,High Bar Squat,5,4,80%,95,,,+5% intensity
6,A - Squat,Bulgarian Split Squat,3,8,-,27.5,,,Per leg - back-sparing unilateral quad work
6,A - Squat,Pause Squat (2 sec),3,3,70%,85,,,"High-bar, knees-forward"
6,A - Squat,Leg Curl,3,12,-,40,,,
6,A - Squat,Leg Extension,3,12,-,75,,,
6,A - Squat,Cable Crunch,3,12,-,36,,,
6,B - Bench,Bench Press,5,4,80%,92.5,,,
6,B - Bench,"Spoto Press (1"" pause)",3,4,70%,80,,,
6,B - Bench,Incline DB Press,3,8,-,26,,,
6,B - Bench,Chest Dip,3,AMRAP,-,BW,,,
6,B - Bench,Tricep Extension (Cable),3,12,-,25,,,
6,B - Bench,Cable Woodchop,3,12,-,22.5,,,Per side
6,B - Bench,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
6,B - Bench,Ab Wheel,3,10,-,BW,,,Controlled reps
6,C - Deadlift,Deadlift,5,4,80%,152.5,,,
6,C - Deadlift,Deficit Deadlift (2.5cm),3,3,70%,132.5,,,
6,C - Deadlift,Pull Up,4,AMRAP,-,BW,,,
