phase,phase_name,protocol_type,order,exercise,sets_reps_duration,notes
1,Foundation,pre_run_warmup,1,McGill Bird Dog,3x10 each side,Already doing as part of gym warmup — carry over to run days
1,Foundation,pre_run_warmup,2,McGill Dead Bug,3x10 each side,Already doing as part of gym warmup — carry over to run days
1,Foundation,pre_run_warmup,3,McGill Side Plank,3x20-30s each side,Already doing as part of gym warmup — carry over to run days
1,Foundation,pre_run_warmup,4,Glute Bridges,3x15,Focus on full hip extension at top — squeeze glutes hard
1,Foundation,pre_run_warmup,5,Clamshells,3x15 each side,Control the movement — avoid hip rotation
1,Foundation,pre_run_warmup,6,Ankle Circles + Heel Raises,2x20,Critical for barefoot adaptation — slow and controlled
1,Foundation,pre_run_warmup,7,Hip Flexor Stretch,60s each side,Targets butt wink root cause — hold and breathe
1,Foundation,pre_run_warmup,8,Leg Swings,10 each direction each side,Forward and lateral — dynamic not static
1,Foundation,post_run_cooldown,1,Calf Stretch (Gastrocnemius),90s each side,Straight leg — heel pressed into ground
1,Foundation,post_run_cooldown,2,Calf Stretch (Soleus),90s each side,Bent knee — targets deeper calf and Achilles
1,Foundation,post_run_cooldown,3,Hip Flexor Stretch,60s each side,Hold longer after runs than pre-run
1,Foundation,post_run_cooldown,4,Glute Stretch,60s each side,Figure four or pigeon position
1,Foundation,post_run_cooldown,5,Foot Rolling,2 mins each foot,Use a massage ball — cover arch; ball of foot; heel
1,Foundation,lifting_guidance,1,Squat Variation,None — avoid,Back still settling; do not load spinal flexion pattern
1,Foundation,lifting_guidance,2,Deadlift Variation,None — avoid,Back still settling
1,Foundation,lifting_guidance,3,Step-Ups,3x12 each leg,Shallow box — single leg loading without spinal load
1,Foundation,lifting_guidance,4,Split Squats (Bulgarian),3x10 each leg at shallow depth,Rear foot elevated — keep front shin vertical
1,Foundation,lifting_guidance,5,Hip Thrust / Glute Bridge Loaded,3x12,Progress from bodyweight to loaded as back allows
1,Foundation,lifting_guidance,6,Upper Body,As normal,Bench; shoulder press; ring dips; ring rollouts — all fine
2,Base Building,pre_run_warmup,1,McGill Big 3,As per Phase 1,Continue throughout all phases
2,Base Building,pre_run_warmup,2,Single-Leg Glute Bridges,3x12 each side,Progress from double-leg in Phase 1 — harder activation
2,Base Building,pre_run_warmup,3,Banded Lateral Walks,2x20 steps each direction,Loop band above knees — stay low and controlled
2,Base Building,pre_run_warmup,4,Dynamic Hip Flexor Lunge with Reach,10 each side,Forward lunge; reach opposite arm overhead — opens hip and thoracic
2,Base Building,pre_run_warmup,5,Ankle Dorsiflexion Wall Mobilisation,2x30s each,Knee over toe toward wall — addresses butt wink and barefoot mechanics
2,Base Building,pre_run_warmup,6,Leg Swings,10 each direction each side,Forward and lateral
2,Base Building,pre_run_warmup,7,Easy jog,2 mins very easy,Before picking up any pace — especially before tempo runs
2,Base Building,post_run_cooldown,1,Calf + Achilles Stretch,90s each variation each side,Both gastrocnemius and soleus — critical as volume increases
2,Base Building,post_run_cooldown,2,IT Band / Glute Stretch,60s each side,Pigeon or cross-body glute stretch
2,Base Building,post_run_cooldown,3,Hip Flexor Stretch,60s each side,Hold longer after long runs
2,Base Building,post_run_cooldown,4,Foot Rolling,2 mins each foot,Prioritise after long runs
2,Base Building,post_run_cooldown,5,Walk (after long runs only),10 mins,Do not stop abruptly after long runs — walk to cool down
2,Base Building,lifting_guidance,1,Goblet Squat,3x10 — introduce week 9-10 if back clear,Start shallow; increase depth as ankle mobility and hip flexors improve
