week,phase,phase_name,month,run1_type,run1_distance_km,run1_notes,run2_type,run2_distance_km,run2_notes,run3_type,run3_distance_km,run3_notes,total_run_km,lifting_guidance,key_focus,watch_for
1,1,Foundation,1,Easy,2,Conversational pace only,Easy,2,Conversational pace only,Easy,2,Conversational pace only,6,Upper body + single-leg accessories only — no heavy squats or deadlifts,Barefoot adaptation — let feet and calves adjust,Calf soreness beyond 48hrs; any Achilles tightness
2,1,Foundation,1,Easy,2,Conversational pace only,Easy,2,Conversational pace only,Easy,2.1,Conversational pace only,6.1,Upper body + single-leg accessories only,Barefoot adaptation — short and easy,Blister hotspot locations shifting from previous shoes
3,1,Foundation,1,Easy,2.1,Conversational pace only,Easy,2.1,Conversational pace only,Easy,2.2,Conversational pace only,6.4,Upper body + single-leg accessories only,Barefoot adaptation — consistency over distance,Knee behaviour during and after runs
4,1,Foundation,1,Easy,2.2,Conversational pace only,Easy,2.2,Conversational pace only,Easy,2.3,Conversational pace only,6.7,Upper body + single-leg accessories only — checkpoint week,Checkpoint: calves/Achilles adapting with no lingering soreness,Persistent lower leg tightness — hold this week if so
5,1,Foundation,2,Easy,2.3,Conversational pace only,Easy,2.3,Conversational pace only,Easy,2.5,Conversational pace only,7.1,Upper body + single-leg accessories; consider light goblet squats if back allows,Consistency and foot strengthening,Back response to any reintroduced lower body work
6,1,Foundation,2,Easy,3.5,Conversational pace only,Easy,3.5,Conversational pace only,Long,4,Easy effort — introduce the weekly long run,11,Upper body + light lower body accessories,Volume on-ramp — bridging toward Base Building at ~10%/week,Total weekly load rising — keep easy runs genuinely easy
7,1,Foundation,2,Easy,3.5,Conversational pace only,Easy,4,Conversational pace only,Long,4.5,Easy effort — slowest run of the week,12,Upper body + light lower body accessories,Volume on-ramp — building toward Week 9 (14km),Calf fatigue accumulating across the week
8,1,Foundation,2,Easy,4,Conversational pace only,Easy,4,Conversational pace only,Long,5,Easy effort — slowest run of the week,13,Upper body + light lower body; back should be largely settled,On-ramp complete — Week 9 begins Base Building proper,Any lingering back or knee niggles before volume steps up
9,2,Base Building,3,Easy,4,Conversational pace,Easy,4,Conversational pace,Long,6,Easy effort — slowest of the three runs,14,Reintroduce goblet squats and Romanian DL cautiously if back clear,Aerobic base — introduce weekly long run,Back response to reintroduced lower body lifting
10,2,Base Building,3,Easy,4,Conversational pace,Easy,4,Conversational pace,Long,7,Easy effort,15,Light squats and hip hinge patterns — monitor back closely,Long run consistency,Knee tracking on longer efforts
11,2,Base Building,3,Easy,4.5,Conversational pace,Easy,4.5,Conversational pace,Long,7.5,Easy effort,16.5,Progress lower body cautiously — add load only if previous week was pain-free,Building aerobic endurance,Overall fatigue — swimming + lifting + running accumulates
12,2,Base Building,3,Easy,4.5,Conversational pace,Easy,4.5,Conversational pace,Long,8,Easy effort,17,Cutback week — reduce lifting volume by ~30% alongside run cutback,Cutback week — allow adaptation and recovery,Signs of overreaching: poor sleep; elevated resting HR; mood dips
13,2,Base Building,4,Easy,5,Conversational pace,Easy,5,Conversational pace,Long,8.5,Easy effort,18.5,Normal lifting schedule — lower body progressing with bar if back allows,Re-energised after cutback — build again,Hip flexor tightness as distances increase
14,2,Base Building,4,Easy,5,Conversational pace,Tempo,4,Comfortably hard — short sentences only,Long,9,Easy effort,18,Normal lifting; tempo run is new stimulus so keep lifting intensity moderate this week,Introduce tempo running — comfortably hard effort,Knee response to first tempo session
15,2,Base Building,4,Easy,5.5,Conversational pace,Tempo,4,Comfortably hard,Long,10,Easy effort,19.5,Normal lifting,Tempo development and long run building toward 10km,Blister management as long run distance grows
16,2,Base Building,4,Easy,5.5,Conversational pace,Tempo,4.5,Comfortably hard,Long,10,Easy effort,20,Cutback week — reduce lifting volume ~30%,Cutback week — checkpoint: long run at 10km without excessive fatigue,Checkpoint: squat reintroduction going smoothly with no back flare
17,2,Base Building,5,Easy,6,Conversational pace,Tempo,4.5,Comfortably hard,Long,11,Easy effort,21.5,Normal lifting — consider dropping one session to shorter maintenance day,Volume increase — monitor fatigue carefully,Total weekly fatigue from three modalities
18,2,Base Building,5,Easy,6,Conversational pace,Tempo,5,Comfortably hard,Long,12,Easy effort,23,Normal lifting — 3 sessions but one can be abbreviated,Sustained tempo development,IT band or hip tightness appearing on long runs
19,2,Base Building,5,Easy,6.5,Conversational pace,Tempo,5,Comfortably hard,Long,13,Easy effort,24.5,Lifting: consider 2 full sessions + 1 maintenance,Approaching 13km long run milestone,Achilles or plantar fascia irritation — address immediately if so
20,2,Base Building,5,Easy,6.5,Conversational pace,Tempo,5.5,Comfortably hard,Long,14,Easy effort,26,Cutback week — reduce lifting volume ~30%,Cutback week — checkpoint: 14km long run completed; noticeable pace improvement on easy runs,Checkpoint: easy run pace improved vs month 1 — should feel measurably easier
21,3,Race Specific,6,Easy,7,Conversational pace — active recovery,Race Pace,5,Sub 5:41/km — interval or sustained tempo,Long,14,Easy with final 2km at race pace,26,2 full lifting sessions + 1 maintenance; no heavy lower body day before race pace session,Introduction of race pace work — sub 5:41/km,Knee response to increased pace demand
22,3,Race Specific,6,Easy,7,Conversational pace,Race Pace,5.5,Sub 5:41/km,Long,14.5,Easy with final 2km at race pace,27,2 full lifting sessions + 1 maintenance,Race pace development,Patellar tracking at faster paces
23,3,Race Specific,6,Easy,7,Conversational pace,Race Pace,6,Sub 5:41/km,Long,15,Easy with final 3km at race pace,28,2 full lifting sessions + 1 maintenance,Building sustained race pace capacity,Blister management — hotspots at faster paces may differ
24,3,Race Specific,6,Easy,7,Conversational pace,Race Pace,6,Sub 5:41/km,Long,15,Easy with final 3km at race pace,28,Cutback week — reduce lifting ~30%,Cutback week — consolidate race pace adaptations,Overtraining signs: persistent fatigue; mood; sleep quality
25,3,Race Specific,7,Easy,7.5,Conversational pace,Race Pace,6.5,Sub 5:41/km sustained,Long,15.5,Easy with final 4km at race pace,29.5,2 lifting sessions — bias upper body; 1 lower body maintenance only,Extending race pace duration,Hip flexor tightness from increased pace work
26,3,Race Specific,7,Easy,7.5,Conversational pace,Race Pace,7,Sub 5:41/km sustained,Long,16,Easy with final 4km at race pace,30.5,2 lifting sessions,Building toward 8-10km sustained at race pace,IT band issues — foam roll and stretch diligently
27,3,Race Specific,7,Easy,7.5,Conversational pace,Race Pace,7,Sub 5:41/km sustained,Long,16,Easy with final 4km at race pace,30.5,2 lifting sessions,Consolidation week — same volume,Any joint complaints — address before volume increases again
28,3,Race Specific,7,Easy,7.5,Conversational pace,Race Pace,7.5,Sub 5:41/km sustained,Long,16,Easy with final 4km at race pace,31,Cutback week — reduce lifting ~30%,Cutback week — checkpoint: sustaining race pace for 6-8km in tempo sessions,Checkpoint: race pace feeling controlled — not maximal effort
29,3,Race Specific,8,Easy,8,Conversational pace,Race Pace,8,Sub 5:41/km — 8km sustained target,Long,16.5,Easy with final 5km at race pace,32.5,2 lifting sessions — upper body focus,Peak race pace development,Mental fatigue alongside physical — this is the hardest phase
30,3,Race Specific,8,Easy,8,Conversational pace,Race Pace,8,Sub 5:41/km,Long,17,Easy with final 5km at race pace,33,2 lifting sessions,Long run building toward peak,Blister vigilance — any hotspot needs resolving before race
31,3,Race Specific,8,Easy,8,Conversational pace,Race Pace,8,Sub 5:41/km,Long,17,Easy with final 5km at race pace,33,2 lifting sessions,Consolidation — hold this volume,Sleep and nutrition becoming increasingly important
32,3,Race Specific,8,Easy,8,Conversational pace,Race Pace,8,Sub 5:41/km,Long,17.5,Easy with final 5km at race pace,33.5,Cutback week — reduce lifting ~30%,Cutback week — allow recovery before peak weeks,Checkpoint: back and knee both healthy — if not address before peak
33,3,Race Specific,9,Easy,8,Conversational pace,Race Pace,8,Sub 5:41/km,Long,18,Easy with final 5km at race pace — PEAK LONG RUN,34,2 lifting sessions — mostly upper body,PEAK LONG RUN WEEK — 18km,This is the confidence builder — trust the process
34,3,Race Specific,9,Easy,7.5,Conversational pace,Race Pace,7,Sub 5:41/km,Long,16,Easy with final 3km at race pace,30.5,2 lifting sessions,Post-peak volume reduction — legs need recovery,Fatigue after peak week — normal to feel flat
35,3,Race Specific,9,Easy,7,Conversational pace,Race Pace,6,Sub 5:41/km,Long,15,Easy run — no race pace,28,2 lifting sessions,Further volume reduction — beginning taper approach,Checkpoint: 18km peak run completed — confidence should be high
36,3,Race Specific,9,Easy,7,Conversational pace,Race Pace,6,Sub 5:41/km,Long,14,Easy run,27,1-2 lifting sessions — upper body only,Transition into taper mindset,Resist urge to do extra runs — trust the bank of fitness
